id,cycle,setting1,setting2,setting3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,av1,av2,av3,av4,av5,av6,av7,av8,av9,av10,av11,av12,av13,av14,av15,av16,av17,av18,av19,av20,av21,sd1,sd2,sd3,sd4,sd5,sd6,sd7,sd8,sd9,sd10,sd11,sd12,sd13,sd14,sd15,sd16,sd17,sd18,sd19,sd20,sd21,ttf,label_bnc,label_mcc
1,31,-0.0006,0.0004,100.0,518.67,642.58,1581.22,1398.91,14.62,21.61,554.42,2388.08,9056.4,1.3,47.23,521.79,2388.06,8130.11,8.4024,0.03,393,2388,100.0,38.81,23.3552,518.67,642.2660000000002,1586.9980000000005,1399.9179999999992,14.62,21.61,554.116,2388.0819999999994,9050.324,1.3,47.28800000000003,521.924,2388.0639999999994,8132.031999999997,8.426199999999998,0.03,392.0,2388.0,100.0,38.92400000000001,23.3735,0.0,0.3938654592624211,4.683862722155502,1.3626885190689544,0.0,0.0,0.3382750360284471,0.0083666002600156,5.200800899859875,0.0,0.1522169504358856,0.2615912842584111,0.0288097205821689,3.302941113613403,0.0211740407102671,0.0,0.7071067811865526,0.0,0.0,0.1240161279834088,0.0250372722156374,112,0,0
2,49,0.0018,-0.0001,100.0,518.67,642.55,1586.59,1410.83,14.62,21.61,553.52,2388.1,9044.77,1.3,47.67,521.74,2388.09,8126.9,8.4505,0.03,391,2388,100.0,38.81,23.2618,518.67,642.672,1588.342,1406.7779999999998,14.62,21.61,553.7480000000003,2388.108,9047.031999999996,1.3,47.506,521.5960000000005,2388.1020000000003,8127.671999999999,8.442259999999996,0.03,392.2,2388.0,100.0,38.902,23.274339999999988,0.0,0.1678392087684936,1.5596698368567514,4.535578243179073,0.0,0.0,0.3577289476685951,0.0443846820425485,3.0449006551968334,0.0,0.0983869910099889,0.450255483031618,0.0083666002655233,1.3700620423920848,0.011429260693497,0.0,1.0954451150103337,0.0,0.0,0.069785385289437,0.0278204600968269,98,0,0
3,126,-0.0016,0.0004,100.0,518.67,642.88,1589.75,1418.89,14.62,21.61,552.59,2388.16,9049.26,1.3,47.88,520.83,2388.14,8131.46,8.4119,0.03,395,2388,100.0,38.93,23.274,518.67,642.874,1592.6399999999996,1413.3499999999983,14.62,21.61,552.702,2388.166,9047.406000000008,1.3,47.705999999999975,520.722,2388.1740000000023,8129.665999999996,8.458679999999992,0.03,394.2,2388.0,100.0,38.68600000000002,23.24412,0.0,0.2873673607078637,4.205151602499044,3.357975580612527,0.0,0.0,0.2926089540655903,0.0288097205810906,1.6087821481110829,0.0,0.1119374825516391,0.4182343840481659,0.0296647939507451,2.979090465227215,0.0309242946564647,0.0,0.8366600265339541,0.0,0.0,0.1436314728741218,0.0189664704149189,69,0,0
4,106,0.0012,0.0004,100.0,518.67,642.78,1594.53,1406.88,14.62,21.61,552.64,2388.13,9051.3,1.3,47.65,521.88,2388.11,8133.64,8.4634,0.03,395,2388,100.0,38.58,23.2581,518.67,642.7860000000002,1591.918000000001,1410.735999999999,14.62,21.61,553.4440000000001,2388.115999999999,9054.800000000008,1.3,47.64199999999997,521.4340000000004,2388.114,8134.327999999997,8.451819999999996,0.03,393.6,2388.0,100.0,38.75799999999999,23.25155999999999,0.0,0.1064424727246457,2.8186113602275222,5.282104694153194,0.0,0.0,0.5909991539756829,0.0581377674161349,4.536805043195687,0.0,0.0465832587953953,0.3632905173549485,0.0270185121725884,0.6229526466751222,0.0212488117314818,0.0,1.3416407864999258,0.0,0.0,0.1263724653554253,0.0211059944092018,82,0,0
5,98,-0.0013,-0.0004,100.0,518.67,642.27,1589.94,1419.36,14.62,21.61,553.29,2388.1,9053.99,1.3,47.46,521.0,2388.15,8125.74,8.4362,0.03,394,2388,100.0,38.75,23.4117,518.67,642.7020000000002,1591.5679999999998,1411.7959999999985,14.62,21.61,553.1579999999999,2388.1219999999994,9053.330000000007,1.3,47.53600000000007,521.0619999999992,2388.134000000001,8128.798000000002,8.436620000000001,0.03,393.4,2388.0,100.0,38.81000000000004,23.291139999999988,0.0,0.2595573154431009,1.4966195241287077,5.30973916496788,0.0,0.0,0.45416957185665,0.0389871773777992,3.2127169187446776,0.0,0.1591540134586674,0.260230666908972,0.0230217288657048,1.9236085880545408,0.0096274087894878,0.0,0.54772255750517,0.0,0.0,0.0919238815542311,0.1011001137486981,91,0,0
6,105,0.0076,-0.0003,100.0,518.67,643.05,1586.94,1404.49,14.62,21.61,553.73,2388.14,9055.83,1.3,47.51,521.56,2388.15,8139.02,8.4452,0.03,393,2388,100.0,38.91,23.3269,518.67,642.5860000000002,1588.9340000000004,1406.0440000000003,14.62,21.610000000000007,553.2900000000001,2388.146,9052.462000000003,1.3,47.51599999999998,521.382,2388.1160000000004,8132.737999999992,8.448739999999997,0.03,392.8,2388.0,100.0,38.77400000000002,23.28456000000002,0.0,0.5124743896039707,1.8606531111416569,1.7129594274228288,0.0,0.0,0.3166228039806709,0.0260768096219204,2.259617224219727,0.0,0.0698569967862921,0.2057182539298176,0.028809720582823,4.295633829833448,0.0074875229549046,0.0,0.4472135954999214,0.0,0.0,0.1533949151699806,0.0717942755378168,93,0,0
7,160,0.0016,-0.0001,100.0,518.67,642.1,1589.59,1413.57,14.62,21.61,553.42,2388.04,9070.99,1.3,47.32,522.32,2388.07,8149.19,8.4028,0.03,393,2388,100.0,38.91,23.2763,518.67,642.2159999999997,1587.0220000000013,1407.3720000000012,14.62,21.609999999999992,553.876,2388.028,9067.831999999991,1.3,47.35000000000001,522.1920000000003,2388.054000000001,8145.867999999997,8.424100000000006,0.03,393.0,2388.0,100.0,38.95600000000002,23.331979999999994,0.0,0.3095642098176907,3.2244798030052317,5.812793648493432,0.0,0.0,0.4504220243281544,0.0216794833892918,7.970515667141582,0.0,0.0897217922246635,0.3264506088220136,0.0320936130736136,2.739885034095434,0.0167182534972854,0.0,0.0,0.0,0.0,0.0983869910100144,0.0636944817076081,91,0,0
8,166,0.0016,-0.0005,100.0,518.67,642.59,1591.91,1413.89,14.62,21.61,553.51,2388.14,9049.96,1.3,47.59,520.53,2388.12,8127.84,8.4744,0.03,393,2388,100.0,38.73,23.2465,518.67,642.8900000000003,1592.4359999999986,1410.1760000000006,14.62,21.610000000000007,553.1840000000007,2388.1299999999983,9049.198,1.3,47.54600000000005,520.8919999999996,2388.1159999999995,8129.840000000002,8.453900000000008,0.03,392.8,2388.0,100.0,38.77999999999995,23.291980000000013,0.0,0.261055549645023,3.8163241476579697,4.324191253865531,0.0,0.0,0.3369421315295773,0.0264575131137929,3.1616641187854624,0.0,0.050299105359901,0.2071714266034172,0.0230217288634752,2.017424100184181,0.0183013660692277,0.0,0.4472135954998737,0.0,0.0,0.0543139024560607,0.0364366848107698,95,0,0
9,55,-0.0003,0.0004,100.0,518.67,642.27,1593.61,1410.27,14.62,21.61,552.58,2388.13,9057.57,1.3,47.58,521.65,2388.16,8134.76,8.4293,0.03,392,2388,100.0,38.78,23.3515,518.67,642.5500000000002,1588.5799999999992,1407.5300000000009,14.62,21.61,553.2520000000001,2388.134,9052.438,1.3,47.58399999999999,521.5279999999999,2388.142000000001,8133.514000000001,8.443319999999996,0.03,392.8,2388.0,100.0,38.794,23.339059999999996,0.0,0.3447462835188152,3.6429589621623006,2.5808428855703345,0.0,0.0,0.5222738745141479,0.005477225577392,4.2205651280368,0.0,0.0923579991121556,0.3614830563110531,0.0383405790250944,3.9095562408037368,0.0135250508317042,0.0,0.836660026534107,0.0,0.0,0.0151657508880832,0.0479284153712667,111,0,0
10,192,-0.0018,0.0004,100.0,518.67,643.0,1589.5,1398.99,14.62,21.61,552.88,2388.11,9060.88,1.3,47.59,521.82,2388.08,8141.91,8.4194,0.03,393,2388,100.0,38.79,23.2956,518.67,642.7979999999997,1589.7240000000013,1403.657999999998,14.62,21.609999999999992,553.5739999999997,2388.0939999999973,9061.646000000004,1.3,47.43599999999993,521.5459999999996,2388.055999999999,8140.204000000002,8.430100000000005,0.03,392.8,2388.0,100.0,38.86400000000003,23.27929999999996,0.0,0.2350957251831617,4.12861114661973,6.2763739531662965,0.0,4.584754041283209e-09,0.4933862584225419,0.0328633534500811,2.6367745447844246,0.0,0.1786896751353928,0.1614930339060852,0.0167332005231146,3.062242642252466,0.0304894243960182,0.0,0.8366600265340348,0.0,0.0,0.087920418561333,0.0558610329299278,96,0,0
